rank,ticker,name,current_price,change_pct,volume,avg_volume_20d,volume_surge_ratio,high_52w,low_52w,rsi,news_count,price_change_score,volume_surge_score,news_score,rsi_score,total_score
1,AMD,AMD,512.5,1.65,22193900,17757430,1.25,580.91,157.39,59.19,10,92.73858921161825,93.05555555555554,50.0,81.0825,84.67
2,ORCL,Oracle,143.16,2.0,34209600,29036620,1.18,324.45,114.99,45.23,10,100.0,83.33333333333333,50.0,56.652499999999996,81.0
3,JPM,JPMorgan Chase,348.92,-1.01,8303400,6366025,1.3,365.18,280.14,40.77,10,37.55186721991701,100.0,50.0,48.847500000000004,59.85
4,AAPL,Apple,332.41,0.32,35920400,41889045,0.86,339.79,237.0,67.48,10,65.14522821576763,38.88888888888889,50.0,95.59,59.56
5,META,Meta Platforms,673.31,0.46,17168100,18041945,0.95,777.7,525.23,83.78,10,68.04979253112032,51.388888888888886,50.0,48.66,57.44
6,TSLA,Tesla,358.08,0.42,32031100,39310050,0.81,489.88,298.32,55.13,10,67.21991701244812,31.944444444444454,50.0,73.9775,55.07
7,NVDA,NVIDIA,213.9,0.82,96079300,129914955,0.74,235.2,164.79,53.18,10,75.51867219917011,22.222222222222225,50.0,70.565,54.96
8,AVGO,Broadcom,339.51,0.07,23063100,26149215,0.88,480.81,292.95,39.51,10,59.958506224066376,41.66666666666667,50.0,46.6425,50.98
9,AMZN,Amazon,245.96,-0.99,33318500,31926855,1.04,284.02,198.79,36.34,10,37.966804979253105,63.88888888888889,50.0,41.095000000000006,48.02
10,COST,Costco,893.74,-0.84,2096900,1977900,1.06,1092.58,846.26,23.36,10,41.078838174273855,66.66666666666667,50.0,23.36,47.44
11,GOOGL,Alphabet,342.87,-0.61,18860000,23983145,0.79,402.12,235.96,50.86,10,45.850622406639005,29.166666666666675,50.0,66.505,44.57
12,MSFT,Microsoft,490.3,-1.37,16612700,20176915,0.82,537.65,352.17,46.79,10,30.082987551867213,33.33333333333333,50.0,59.3825,38.44
13,NFLX,Netflix,76.41,-1.91,25303100,26671535,0.95,124.14,67.6,38.13,10,18.879668049792528,51.388888888888886,50.0,44.227500000000006,37.1
14,CRM,Salesforce,250.54,-2.0,9423800,16321080,0.58,264.88,150.12,70.81,10,17.01244813278008,0.0,50.0,96.75999999999999,28.82
15,ADBE,Adobe,250.5,-2.82,4469100,5132040,0.87,367.46,193.41,39.27,10,0.0,40.27777777777778,50.0,46.222500000000004,26.52
